country,year,pop,continent,gdpPercap,lifeExp
00000204672,2019-07,15100000,cz,39,1.904161
00000204672,2019-10,18800000,cz,37,2.076201
00000204672,2019-12,21400000,cz,26,1.233927
00000205087,2019-03,1000000,cz,10,0.14861
00000205087,2019-05,3500000,cz,25,0.574524
00000205087,2019-06,4800000,cz,13,0.801469
00000205087,2019-07,8000000,cz,32,1.008827
00000205087,2019-10,12200000,cz,42,1.347322
00000205087,2020-02,14900000,cz,27,2.101848
00000205092,2019-03,500000,cz,5,0.074305
00000205092,2019-07,1100000,cz,6,0.138714
00000205172,2019-03,400000,cz,4,0.059444
00000205172,2019-07,1500000,cz,11,0.189155
00000205172,2019-10,2300000,cz,8,0.254003
00000205172,2019-12,3500000,cz,12,0.201811
00000205172,2020-01,4600000,cz,11,0.471505
00000205172,2020-02,5200000,cz,6,0.733531
00000205426,2019-05,1600000,cz,16,0.26264
00000205426,2019-08,4100000,cz,25,0.712176
00000205426,2019-09,7000000,cz,29,0.816327
00000205431,2019-03,5400000,cz,54,0.802497
00000205431,2019-07,11600000,cz,62,1.462799
00000205431,2019-12,22600000,cz,110,1.303119
00000205488,2019-04,200000,cz,2,0.027847
00000205488,2019-08,300000,cz,1,0.05211
00000205488,2019-09,400000,cz,1,0.046647
00000205488,2019-11,800000,cz,4,0.066473
00000205493,2019-04,2200000,cz,22,0.306321
00000205493,2019-06,5400000,cz,32,0.901653
00000205493,2019-07,10400000,cz,50,1.311475
00000205493,2019-11,15400000,cz,50,1.279601
00000205493,2020-02,20400000,cz,50,2.877698
00000205501,2019-03,6400000,cz,64,0.951107
00000205501,2019-05,18200000,cz,118,2.987525
00000205501,2019-08,28900000,cz,107,5.019976
00000205501,2019-09,40900000,cz,120,4.769679
00000205501,2020-01,63800000,cz,229,6.539565
00000205501,2020-02,75600000,cz,118,10.66441
00000205539,2019-03,2000000,cz,20,0.297221
00000205539,2019-06,3300000,cz,13,0.55101
00000205539,2019-07,5100000,cz,18,0.643127
00000205539,2019-08,7500000,cz,24,1.302762
00000205539,2019-09,10300000,cz,28,1.201166
00000205539,2019-10,13000000,cz,27,1.435671
